,PlayerPosition,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,avg_pts,mins,ppm,sd_pts,player_rate,Opponent,pts,ast,reb,stl,blk,dfs_points,Position,player_name,pos,player_avg_dfs_points,opp_team,opp_team_avg_allowed_dfs_points,model_projections,composite_score
1,C,Nikola Jokic (32173923),Nikola Jokic,32173923,C/UTIL,11600,DEN@GSW 01/04/2024 10:00PM ET,DEN,60.12,51.75,32.07142857142857,1.61358574610245,12.798737918548545,4.043367426486749,GSW,15.0,3.0,8.4,0.6,0.9,32.8,C,Nikola Jokic,C,59.50735294117647,GSW,28.57777777777778,67.25374397231423,37.10755263278401
3,SG,Stephen Curry (32173928),Stephen Curry,32173928,PG/SG/G/UTIL,9000,DEN@GSW 01/04/2024 10:00PM ET,GSW,43.25,40.67307692307692,33.38461538461539,1.2183179723502302,10.307453116245048,3.945987089572512,DEN,13.0,3.0,3.3,1.0,0.4,24.4,PG/SG,Stephen Curry,PG,43.20161290322581,DEN,25.818840579710145,43.97874062714166,29.94723079948317
5,PG,Jamal Murray (32173936),Jamal Murray,32173936,PG/G/UTIL,8000,DEN@GSW 01/04/2024 10:00PM ET,DEN,37.7,40.55769230769231,29.076923076923077,1.3948412698412698,9.627517985654588,4.212684138126254,GSW,16.2,4.3,3.6,1.2,0.3,30.4,PG,Jamal Murray,PG,37.70238095238095,GSW,29.672131147540984,43.15578113995661,30.06353368395223
9,SF,Michael Porter Jr. (32173952),Michael Porter Jr.,32173952,SF/PF/F/UTIL,6600,DEN@GSW 01/04/2024 10:00PM ET,DEN,31.64,27.875,30.285714285714285,0.9204009433962264,9.079112757397525,3.070233925367638,GSW,13.0,2.4,4.1,1.1,0.3,24.7,SF/PF,Michael Porter Jr.,SF,31.47142857142857,GSW,23.435714285714287,29.907303504779936,23.19240110890793
13,SG,Brandin Podziemski (32173963),Brandin Podziemski,32173963,PG/SG/G/UTIL,6100,DEN@GSW 01/04/2024 10:00PM ET,GSW,23.0,29.03846153846154,27.923076923076923,1.0399449035812671,10.87947520651758,2.6691049878091024,DEN,13.0,3.0,3.3,1.0,0.4,24.4,PG/SG,Brandin Podziemski,SG,22.944444444444443,DEN,22.26923076923077,21.51556638048992,21.375784451800076
15,SF,Klay Thompson (32173971),Klay Thompson,32173971,SG/SF/F/G/UTIL,5900,DEN@GSW 01/04/2024 10:00PM ET,GSW,27.11,28.25,30.153846153846153,0.9368622448979592,11.457803018030988,2.4655686570578466,DEN,11.8,2.3,3.8,0.8,0.5,22.7,SG/SF,Klay Thompson,SG,27.109375,DEN,22.26923076923077,24.88870202810022,22.08710163112841
16,PF,Aaron Gordon (32173976),Aaron Gordon,32173976,PF/F/UTIL,5800,DEN@GSW 01/04/2024 10:00PM ET,DEN,29.79,27.125,28.333333333333332,0.9573529411764706,8.387964863150927,3.233799907670397,GSW,13.3,2.8,6.0,0.9,0.5,27.7,PF,Aaron Gordon,PF,29.689655172413794,GSW,23.94736842105263,28.112973043331806,22.525072572111256
20,PF,Jonathan Kuminga (32173991),Jonathan Kuminga,32173991,PF/F/UTIL,5300,DEN@GSW 01/04/2024 10:00PM ET,GSW,21.38,26.846153846153847,25.23076923076923,1.0640243902439024,7.863774049888025,3.4139019859727684,DEN,11.9,2.3,5.2,0.6,0.7,24.6,PF,Jonathan Kuminga,PF,21.3828125,DEN,21.996575342465754,19.238400685720666,19.995371147921272
21,SF,Andrew Wiggins (32173994),Andrew Wiggins,32173994,SF/PF/F/UTIL,5200,DEN@GSW 01/04/2024 10:00PM ET,GSW,21.28,21.59090909090909,24.636363636363637,0.8763837638376383,9.7923903665504,2.204866052385021,DEN,11.8,2.3,3.8,0.8,0.5,22.7,SF/PF,Andrew Wiggins,PF,21.232758620689655,DEN,21.996575342465754,18.98256483145853,18.42346333766596
23,SG,Kentavious Caldwell-Pope (32174001),Kentavious Caldwell-Pope,32174001,SG/G/UTIL,5000,DEN@GSW 01/04/2024 10:00PM ET,DEN,20.79,18.3125,28.0,0.6540178571428571,7.445350135243046,2.4595888262281447,GSW,15.2,3.1,3.8,1.1,0.3,27.8,SG,Kentavious Caldwell-Pope,SF,20.78787878787879,GSW,23.435714285714287,19.69361772348981,18.645457082291124
