SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22024,1610612740,NOP,New Orleans Pelicans,0022401207,2024-12-12,NOP vs. SAC,L,240,109,39,83,0.47,14,37,0.378,17,20,0.85,10,33,43,22,6,4,17,22,-2.0
22024,1610612738,BOS,Boston Celtics,0022401205,2024-12-12,BOS vs. DET,W,241,123,46,90,0.511,20,48,0.417,11,13,0.846,8,43,51,34,6,4,14,9,24.0
22024,1610612758,SAC,Sacramento Kings,0022401207,2024-12-12,SAC @ NOP,W,240,111,37,92,0.402,10,33,0.303,27,29,0.931,17,33,50,24,12,2,11,19,2.0
22024,1610612761,TOR,Toronto Raptors,0022401206,2024-12-12,TOR @ MIA,L,242,104,41,92,0.446,11,32,0.344,11,15,0.733,9,33,42,29,8,5,11,24,-10.0
22024,1610612765,DET,Detroit Pistons,0022401205,2024-12-12,DET @ BOS,L,241,99,42,98,0.429,7,37,0.189,8,10,0.8,9,34,43,27,8,4,8,12,-24.0
22024,1610612748,MIA,Miami Heat,0022401206,2024-12-12,MIA vs. TOR,W,241,114,40,83,0.482,13,32,0.406,21,32,0.656,11,41,52,21,4,3,15,11,10.0
22024,1610612752,NYK,New York Knicks,0022401202,2024-12-11,NYK vs. ATL,L,241,100,40,93,0.43,11,42,0.262,9,15,0.6,12,37,49,27,8,11,12,14,-8.0
22024,1610612745,HOU,Houston Rockets,0022401204,2024-12-11,HOU vs. GSW,W,240,91,38,83,0.458,6,27,0.222,9,10,0.9,7,29,36,23,10,5,16,14,1.0
22024,1610612744,GSW,Golden State Warriors,0022401204,2024-12-11,GSW @ HOU,L,240,90,37,84,0.44,12,38,0.316,4,9,0.444,11,28,39,22,13,8,15,11,-1.0
22024,1610612737,ATL,Atlanta Hawks,0022401202,2024-12-11,ATL @ NYK,W,239,108,43,104,0.413,9,31,0.29,13,20,0.65,22,36,58,27,5,7,10,13,8.0
22024,1610612753,ORL,Orlando Magic,0022401201,2024-12-10,ORL @ MIL,L,240,109,41,93,0.441,6,27,0.222,21,27,0.778,15,31,46,19,11,4,13,21,-5.0
22024,1610612742,DAL,Dallas Mavericks,0022401203,2024-12-10,DAL @ OKC,L,240,104,38,80,0.475,15,36,0.417,13,19,0.684,7,37,44,25,10,2,18,12,-14.0
22024,1610612760,OKC,Oklahoma City Thunder,0022401203,2024-12-10,OKC vs. DAL,W,240,118,46,101,0.455,20,50,0.4,6,7,0.857,17,35,52,29,14,5,13,17,14.0
22024,1610612749,MIL,Milwaukee Bucks,0022401201,2024-12-10,MIL vs. ORL,W,240,114,42,77,0.545,11,30,0.367,19,25,0.76,5,32,37,27,9,6,16,17,5.0
